source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,1,1.5021560192108154,3.2967162132263184,2.8389151096343994,256,0,37486.248869895935,38373.132791519165,933.84375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,2,1.4536340236663818,6.147162437438965,3.941664218902588,256,0,37486.24904632568,38373.13301753998,1020.03125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,3,1.5290610790252686,11.837658882141113,5.915662884712219,256,0,37486.2546081543,38373.13830089569,1040.5234375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,4,1.6384069919586182,9.627266883850098,6.657983684539795,256,0,37486.255084991455,38373.139384269714,1034.51953125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,5,1.5015017986297607,11.185376167297363,7.412549098332723,256,0,37486.25538444519,38373.13962650299,994.41796875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,6,1.4921064376831055,10.464132308959961,7.848489556993757,256,0,37486.25580406189,38373.13996219635,1072.51953125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,7,1.5112817287445068,7.084173679351807,7.752950072288513,256,0,37486.2564125061,38373.140654563904,1124.51953125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,8,1.418736219406128,6.355148792266846,7.597638818952772,256,0,37486.25671195984,38373.14089679718,1126.109375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,9,1.3689632415771484,6.018885612487793,7.439763498306275,256,0,37486.25692176819,38373.14106464386,1096.0234375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,10,1.378575086593628,6.413125514984131,7.346432772549716,256,0,37486.25767707825,38373.14176464081,1162.51953125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,11,1.4928295612335205,4.609223365783691,7.118331988652547,256,0,37486.25780296326,38373.14192485809,947.4375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,12,1.3973121643066406,4.04533052444458,6.88194726063655,256,0,37486.25810241699,38373.14216709137,919.83984375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,13,1.4035723209381104,3.801377058029175,6.66190653187888,256,0,37486.25852203369,38373.142439842224,962.24609375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,14,1.4237830638885498,2.8825247287750244,6.409947745005289,256,0,37486.25919342041,38373.14325809479,952.1171875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,15,1.420471429824829,3.289393901824951,6.2149131298065186,256,0,37486.259395599365,38373.14342594147,977.203125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,16,1.4346857070922852,3.397848129272461,6.049203423892751,256,0,37486.259605407715,38373.14359378815,1000.01953125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,17,1.3993196487426758,3.1486260890960693,5.888060238626268,256,0,37486.260400772095,38373.14433383942,1010.5234375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,18,1.482156753540039,3.0066072940826416,5.736404820492393,256,0,37486.260538101196,38373.14459133148,1011.5234375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,19,1.4937593936920166,3.1263387203216553,5.605901515483856,256,0,37486.26074028015,38373.14475917816,968.32421875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,20,1.433769702911377,3.3471336364746094,5.49834114029294,256,0,37486.26115989685,38373.14509487152,1073.5234375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,21,1.536910057067871,3.774448871612549,5.419982400807467,256,0,37486.261768341064,38373.145787239075,1079.98046875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,22,1.4467294216156006,2.4704456329345703,5.291741671769516,256,0,37486.26197052002,38373.145955085754,1023.2578125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,23,1.438904047012329,2.624006509780884,5.180586040019989,256,0,37486.26218032837,38373.146122932434,999.2109375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,24,1.4420101642608643,3.120149612426758,5.0981685829162595,256,0,37486.26299858093,38373.14694881439,1000.12109375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,25,1.4877824783325195,2.7216696739196777,5.006764778724084,256,0,37486.26392745972,38373.14796543121,984.23828125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,26,1.4803822040557861,3.063361644744873,4.934786884873001,256,0,37486.26467895508,38373.148606300354,1016.13671875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
baseline,27,1.4584062099456787,2.8058249950408936,4.858752531664712,256,0,37486.26575756073,38373.14991760254,1032.1484375
