source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,1,2.6790316104888916,5.039561748504639,3.7770551443099976,256,0,50751.90546321869,51514.96574020386,886.6796875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,2,2.841423988342285,9.104970932006836,5.553027073542277,256,0,50804.870591163635,51567.90210723877,928.03515625
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,3,2.769382953643799,8.919482231140137,6.394640862941742,256,0,50857.84185886383,51620.83005332947,995.53515625
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,4,2.7189078330993652,13.559642791748047,7.827641248703003,256,0,50910.821513175964,51673.75947570801,995.5390625
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,5,2.624484062194824,9.507238388061523,8.107574105262756,256,0,50963.7924451828,51726.69455528259,1020.44921875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,6,2.620194673538208,10.111695289611816,8.393877131598336,256,0,51016.76023769379,51779.62771987915,1002.578125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,7,2.522413969039917,8.983236312866211,8.46754702925682,256,0,51069.732995033264,51832.55864524841,1031.3671875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,8,2.3394432067871094,8.664952278137207,8.489480945799086,256,0,51122.711033821106,51885.491830825806,1033.96875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,9,2.4797799587249756,9.213147163391113,8.561847567558289,256,0,51175.682832717896,51938.419741630554,1118.28125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,10,2.627725601196289,6.69304895401001,8.391956784508444,256,0,51228.66629886627,51991.34955024719,1100.51953125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,11,2.4924964904785156,4.274533271789551,8.048838158448538,256,0,51281.64468669891,52044.28239250183,1114.31640625
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,12,2.5300374031066895,5.545217037200928,7.856251918352568,256,0,51334.629158973694,52097.21703910828,1034.078125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,13,2.5762996673583984,4.844607830047607,7.641134483473642,256,0,51387.604937553406,52150.155740737915,1100.40625
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,14,2.5349280834198,4.625039100646973,7.440061457951864,256,0,51440.57899570465,52203.0844707489,1029.76171875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,15,2.579524040222168,3.2418718338012695,7.1776746064424515,256,0,51493.564341545105,52256.02297782898,1086.48046875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,16,2.555330753326416,2.708834409713745,6.914801653693704,256,0,51546.546610832214,52308.96042251587,1106.08984375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,17,2.5664706230163574,2.510082244873047,6.670095019870335,256,0,51599.52270412445,52361.89862060547,1040.0859375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,18,2.5119822025299072,2.919628143310547,6.4727020263671875,256,0,51652.50205516815,52414.83504104614,1182.09375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,19,2.537867784500122,3.1831135749816895,6.308222603797913,256,0,51705.479659080505,52467.76961708069,1182.01171875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,20,2.5940821170806885,3.672086477279663,6.182692312058949,256,0,51758.46016597748,52520.7051448822,1181.8828125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,21,2.6196370124816895,4.499807357788086,6.106197541410273,256,0,51811.43298625946,52573.64201545715,1039.26953125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,22,2.5332515239715576,3.763930082321167,6.004359825797703,256,0,51864.41217136383,52626.5770740509,999.296875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,23,2.523606538772583,2.755925178527832,5.869008382161458,256,0,51917.38820171356,52679.50110435486,1046.828125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,24,2.592287063598633,2.2720837593078613,5.725131397247314,256,0,51970.36977863312,52732.43870925903,1070.4296875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,25,2.605530023574829,6.422337055206299,5.751946999476506,256,0,52023.350529670715,52785.36645889282,1120.4296875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,26,2.5064380168914795,2.3665082454681396,5.626560378957678,256,0,52076.325308799744,52838.29772377014,1161.4296875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
DDP,27,2.5311660766601562,2.6140973567962646,5.518972413880484,256,0,52129.29705905914,52891.22739601135,1193.4375
