source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,1,2.7155673503875732,3.981194019317627,3.2042399644851685,256,0.3847355842590332,45599.60434818268,46426.36382102966,869.01953125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,2,2.666862726211548,5.764860153198242,4.057780027389526,256,0.3271503448486328,45705.42460346222,46532.23572731018,830.14453125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,3,2.5890090465545654,9.384578704833984,5.389479696750641,256,0.2941441535949707,45811.24187088013,46639.79417705536,846.125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,4,2.597418785095215,12.255561828613281,6.762696123123169,256,0.2776501178741455,45917.05230331421,46746.96948337555,926.25
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,5,2.760430097579956,7.5376996994018555,6.891863385836284,256,0.4410691261291504,46022.86118888855,46852.84258747101,914.46484375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,6,2.6545417308807373,7.328531742095947,6.954244579587664,256,0.4632391929626465,46128.674644470215,46958.693798065186,884.9453125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,7,2.774024486541748,5.126713752746582,6.725803226232529,256,0.4295365810394287,46234.478578567505,47064.55923175812,850.35546875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,8,2.8242571353912354,5.171630859375,6.553117407692803,256,0.5250928401947021,46340.28547477722,47170.43747806549,894.1796875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,9,2.8266735076904297,5.007239818572998,6.398529648780823,256,0.5480966567993164,46446.09246826172,47276.325963020325,910.2109375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,10,2.8449034690856934,4.136493682861328,6.192890015515414,256,0.5474398136138916,46551.89882469177,47382.18335437775,933.16796875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,11,2.8021016120910645,3.595551013946533,5.976445098718007,256,0.5239439010620117,46657.70624732971,47488.03304576874,901.40234375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,12,2.8080718517303467,3.9981112480163574,5.824265571740957,256,0.552492618560791,46763.519956588745,47594.95319843292,837.3671875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,13,2.883218288421631,3.2822139263153076,5.642690454210554,256,0.40341663360595703,46869.32500076294,47700.817363739014,850.21484375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,14,2.770040512084961,3.4972169399261475,5.499658886591593,256,0.431323766708374,46975.1348361969,47806.68514060974,869.28515625
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,15,2.789079427719116,3.8450536727905273,5.396246060729027,256,0.40237855911254883,47080.93823623657,47912.558099746704,885.27734375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,16,2.7044732570648193,3.2546141147613525,5.270267710966222,256,0.35272765159606934,47186.80426597595,48018.40857505798,930.89453125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,17,2.7353081703186035,2.740316152572632,5.129714846611023,256,0.558448076248169,47292.61472225189,48124.24967288971,1015.37109375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,18,2.720801591873169,2.4969613552093506,4.991148873379356,256,0.5086710453033447,47398.42355251312,48230.0925245285,941.25390625
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,19,2.789742946624756,2.669189214706421,4.875050890445709,256,0.6739530563354492,47504.23379993439,48335.937109947205,950.45703125
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,20,2.772014617919922,2.378127098083496,4.75614975747608,256,0.42937564849853516,47610.038029670715,48441.76949214935,954.8984375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,21,2.7659506797790527,2.508890151977539,4.654001593589783,256,0.4702036380767822,47715.84862613678,48547.61796283722,974.32421875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,22,2.791959762573242,2.4876327514648438,4.559811643932177,256,0.5433399677276611,47821.65432262421,48653.458830833435,949.32421875
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,23,2.8427441120147705,2.743165969848633,4.484118074178696,256,0.4988389015197754,47927.460436820984,48759.27806186676,846.02734375
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,24,2.819042682647705,2.3584277629852295,4.399090461730957,256,0.4984321594238281,48033.265358924866,48865.138215065,862.140625
source,iter,time,iter_loss,total_loss,batch_size,sync_time,bytes_sent,bytes_recv,memory
gather-scatter,25,2.8131420612335205,2.6152679920196533,4.330481905203599,256,0.44403743743896484,48139.068917274475,48970.98102474213,836.484375
